,Lake_Askoti,Barnes_Lake,Breakneck_Pond,Island_Pond,Lake_Kanawauke_L,Lake_Kanawauke_U,Little_Long_Pond,Lily_Pond,Lake_Massawippa,Lake_Nawahunta,Pine_Meadow,Pine_Swamp,Harriman_Pond,Queensboro_Lake,Lake_Sebago,Silver_Mine_Lake,Lake_Skannatati,Lake_Skenonto,Spring_Pond,Lake_Stahahe,Lake_Te-Ata,Lake_Tiorati,Turkey_Hill_Lake,Lake_Wanoksink,Welch,Lake_Wanoksink_overflow
Euglena_spirogyra,,,,,,,,,,,,,,1,,,,,,,,,,,,
Phacus_suecicus,,,,,,,,1,,,,,,,,,,,,,,,,,,
Trachelomonas_armata_var._longispina,,,,,,,,1,,,,,,,,,,,,,,,,,,
Batrachospermum_turfosum,,,,,,,,,,,,,,,,,,1,,,,,,,,
Kumanoa_sp.,,,,,,,,,,,,,1,,,,,,,,,,,,,
Glaucocystis_nostochinearum,,,,,,1,,,,,,,,1,,,,,,,,,,,,
Chrysosphaerella_longispina,,,,,,,,,,,1,,,,,,,,,,,,,,,
Botryococcus_braunii,,,,,,,,,,,1,,,,,,,,,,,,,,,
Bambusina_borreri,,,1,,,,,,,,,1,,,,,,,,,,,,,,1
Closterium_costatum_var._westii,,,1,,,,,,,,1,,,,,,,,,,,,,,,
Closterium_ehrenbergii,,,,,,1,,,,,,,,1,,,,,,,,,,,,
Closterium_gracile,,,,,,,,,,,,,,,,,,1,,,,,,,,
Closterium_kuetzingii,,,,,1,,,1,,,,,,1,,,,,,,,,,,,
Closterium_libellula,,,1,,,,,,,,,,,,,,,,,,,,,,,
Closterium_libellula_var._interuptum,,,1,,,,,,,,,,,,,,,,,,,,,,,
Closterium_lunula_(Müller),,,,1,,,,,,,,,,,,,,,,,,,,,,
Closterium_macilentum,1,,1,,1,1,,1,,,,1,1,1,,,,,,1,,,,,,1
Closterium_moniliferum,1,,,,1,1,1,,,1,,,,,,,1,,,,,,,,,
Closterium_navicula,,,1,,,1,,,,,,,,,,,,,,,,,,,,
Closterium_setaceum,,,1,,1,,1,,,,1,1,,1,,,1,,,,,,,,,
Closterium_striolatum,,,1,,,1,,,,,,,,,,,,,,,,,,1,,1
Closterium_tumidulum,,,,,,1,,1,1,,,,1,1,,,,1,,,,1,,,,
Closterium_venus,,,,,,,,,,1,,,,1,,,,,,,,,,,,
Cosmarium_amoenum,,,,,,,1,,,,,,,,,,,,,,,,,,,
Cosmarium_botrytis,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Cosmarium_contractum,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,
Cosmarium_contractum_var._rotundatum,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,
Cosmarium_dentatum,1,,1,,,1,1,,,,,,,,,,,,1,,,,,,,
Cosmarium_dispersum,,,,,1,,1,,1,,,,,,,,1,,1,,,,,,,
Cosmarium_excavatum_var._duplo-maius,,,,,,,,,,1,,,,,,,,,,1,,,,,,
Cosmarium_granatum,,,,,,1,,1,,,,,,,,,,,,,,,,,,
Cosmarium_lobatum_var._papillatum,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Cosmarium_margaritatum,,,,,,,1,,,,,,,1,,,,,1,,,,,,,1
Cosmarium_moniliforme,,,,,,1,,,,,,,,,,,,,,,,,,,,
Cosmarium_ornatum,1,,,,,1,1,,,1,,,1,,,,1,1,,1,1,,,,,
Cosmarium_ovale,,,1,,,1,,1,,,,,,,,,,,,,,,,,,
Cosmarium_pachydermum,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cosmarium_phaseolus,,,,,,1,1,1,,,,,,,,,1,,,,,1,,,,
Cosmarium_portianum,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,
Cosmarium_pseudoconnatum,1,,1,,,1,1,,1,,,,1,1,,,1,1,1,1,1,,,,,
Cosmarium_punctulatum_var._subpunctulatum,,,,,,,1,,,,,,,,,,,,,,,,,,,
Cosmarium_pyramidatum_var._canadense,,,,,,,1,,,,,,,,,,,,,,,,,,,
Cosmarium_quinarium,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Cosmarium_regnellii,,,,,,,,,,1,,,,,,,,,1,1,,,,,,
Cosmarium_reniforme,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Cosmarium_sexangulare,1,,,,,,1,,1,1,,,,1,,,1,,1,,1,,,,,
Cosmarium_taxichondrum,,,,,,,,,,,,,,1,,,,,,1,,,,,,
Desmidium_aptogonum,,,,,1,,,,,,,,,,,,,,,,,,,,,
Desmidium_swartzii,,,,,,,,,,,,,,,,,,,,1,,,,,,
Didymoprium_grevillei,,,,,,,,,,,,,,,,,,,,,,,,,,1
Docidium_baculum,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Euastrum_ansatum_var._attenuatum,,,,,,,,,,,,,,,,,,,,1,,,,1,,
Euastrum_bidentatum,,,1,,,1,1,,,,,,1,,,,,,,,,,,,,
Euastrum_ciastonii,,,,,,,,,,,,,,,,,1,,,,,,,,,
Euastrum_crassum,,,1,,,,,,,,,,,,,,,,,,,,,,,
Euastrum_denticulatum_forma,1,,,,,1,1,,,,1,,,,,,1,1,,1,,,,,,1
Euastrum_didelta,,,,,,,,,,,,,,,,,,,,1,,,,,,
Euastrum_evolutum,,,,,1,1,1,,,,,,,,,,,,,1,,,,,,
Euastrum_evolutum_var._glaziovii,,,,,,,,,,,,,,,,,,,,1,,,,,,
Euastrum_evolutum_var._integrius,,,,,,,,,,,,,,,,,1,,1,,,,,,,
Euastrum_oblongum,,,,,,,,,,,,,,,,,,,1,,,,,,,
Euastrum_pinnatum,,,1,,,,,,,,,,,,,,,,,,,,,,,
Euastrum_sibiricum,,,1,,,,,,,,,,,,,,,,,,,,,,,
Euastrum_verrucosum_var._alatum,,,,,,,,,,,,,,,,,,,1,,,,,,,
Gonatozygon_brebissonii,,,,,,,,,,,,,,,,,1,,,,,,,,,
Gonatozygon_kinahani,,,,,,,,,,,,,,,,,,1,,,,,,,,
Gonatozygon_monotaenium,1,,1,,1,1,1,,,,,,,,,,1,1,,1,1,,,,,
Haplotaenium_minutum,,,,,,,,,,,,1,,,,,,,,,,,,,,
Haplotaenium_rectum,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Hyalotheca_dissiliens,1,,1,,,1,,,,,,,,,,,1,,,,,,,,,
Hyalotheca_mucosa,,,,1,,,,,,,,1,,,,,1,,,,,,,,,
Micrasterias_americana,,,,,,,,,,,,,,1,,,,,,,,,,,,
Micrasterias_apiculata_var._fimbriata,,,,,1,1,1,,,1,,1,1,1,,,,,,1,,,,1,,
Micrasterias_denticulata,,,,,,,,,,,,,,,,,,,,,,,,,,1
Micrasterias_depauperata_var._wollei,,,1,,,,,,,,,1,,,,,,,,,,,,,,
Micrasterias_foliacea,,,,,,1,1,,,,,,,,,,1,,,1,,,,,,
Micrasterias_furcata,,,,,,1,,,,,,,,1,,,1,,1,1,,,,,,
Micrasterias_laticeps,1,,,,,,1,,,,,,,1,,,1,,,1,1,1,,,,
Micrasterias_mahabuleshwarensis,,,,,,,1,,,,,,,,,,,,,,,,,,,
